[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings_backup.bin
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:14] Saving 2 values; 44 bytes
[2026-04-03 09:57:14] Saving 2 values; 44 bytes
[2026-04-03 09:57:14] Saving 2 values; 44 bytes
[2026-04-03 09:57:14] Saving 2 values; 44 bytes
[2026-04-03 09:57:14] Saving 2 values; 44 bytes
[2026-04-03 09:57:14] Saving 2 values; 44 bytes
[2026-04-03 09:57:15] Saving 2 values; 44 bytes
[2026-04-03 09:57:15] Saving 2 values; 44 bytes
[2026-04-03 09:57:15] Saving 2 values; 44 bytes
[2026-04-03 09:57:15] Saving 2 values; 44 bytes
[2026-04-03 09:57:16] Saving 2 values; 44 bytes
[2026-04-03 09:57:16] Saving 2 values; 44 bytes
[2026-04-03 09:57:17] Saving 2 values; 44 bytes
[2026-04-03 09:57:17] Saving 2 values; 44 bytes
[2026-04-03 09:57:18] Saving 2 values; 44 bytes
[2026-04-03 09:57:18] Saving 2 values; 44 bytes
[2026-04-03 09:57:19] Saving 2 values; 44 bytes
[2026-04-03 09:57:19] Saving 2 values; 44 bytes
[2026-04-03 09:57:19] Saving 2 values; 44 bytes
[2026-04-03 09:57:20] Saving 2 values; 44 bytes
[2026-04-03 09:57:20] Saving 2 values; 44 bytes
[2026-04-03 09:57:21] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
[2026-04-03 09:57:22] Saving 2 values; 44 bytes
